adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,release_year,weighted_rating
False,157336,en,Interstellar,the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage,59.15,2014-11-05,Interstellar,8.47,39461,2014,8.171288596283638
False,27205,en,Inception,cobb a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible inception the implantation of another persons idea into a targets subconscious,32.4608,2010-07-15,Inception,8.372,39061,2010,8.087875757209364
False,24428,en,The Avengers,when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as shield finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins,50.9247,2012-04-25,The Avengers,8.006,37396,2012,7.777753353843432
False,155,en,The Dark Knight,batman raises the stakes in his war on crime with the help of lt jim gordon and district attorney harvey dent batman sets out to dismantle the remaining criminal organizations that plague the streets the partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker,33.1899,2008-07-16,The Dark Knight,8.528,35544,2008,8.19163902638547
False,19995,en,Avatar,in the nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization,32.3822,2009-12-16,Avatar,7.602,33823,2009,7.4336988073220525
False,293660,en,Deadpool,the origin story of former special forces operative turned mercenary wade wilson who after being subjected to a rogue experiment that leaves him with accelerated healing powers adopts the alter ego deadpool armed with his new abilities and a dark twisted sense of humor deadpool hunts down the man who nearly destroyed his life,20.1607,2016-02-09,Deadpool,7.623,32599,2016,7.4454107562081235
False,550,en,Fight Club,a tickingtimebomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy their concept catches on with underground fight clubs forming in every town until an eccentric gets in the way and ignites an outofcontrol spiral toward oblivion,29.0245,1999-10-15,Fight Club,8.438,31844,1999,8.089151814490066
False,299536,en,Avengers: Infinity War,as the avengers and their allies have continued to protect the world from threats too large for any one hero to handle a new danger has emerged from the cosmic shadows thanos a despot of intergalactic infamy his goal is to collect all six infinity stones artifacts of unimaginable power and use them to inflict his twisted will on all of reality everything the avengers have fought for has led up to this moment  the fate of earth and existence itself has never been more uncertain,46.7747,2018-04-25,Avengers: Infinity War,8.233,31779,2018,7.92589061805683
False,278,en,The Shawshank Redemption,imprisoned in the s for the double murder of his wife and her lover upstanding banker andy dufresne begins a new life at the shawshank prison where he puts his accounting skills to work for an amoral warden during his long stretch in prison dufresne comes to be admired by the other inmates  including an older prisoner named red  for his integrity and unquenchable sense of hope,46.3708,1994-09-23,The Shawshank Redemption,8.718,30171,1994,8.293766872501687
False,680,en,Pulp Fiction,a burgerloving hit man his philosophical partner a drugaddled gangsters moll and a washedup boxer converge in this sprawling comedic crime caper their adventures unfurl in three stories that ingeniously trip back and forth in time,32.2259,1994-09-10,Pulp Fiction,8.484,30036,1994,8.108758870490892
False,13,en,Forrest Gump,a man with a low iq has accomplished great things in his life and been present during significant historic eventsin each case far exceeding what anyone imagined he could do but despite all he has achieved his one true love eludes him,26.42,1994-06-23,Forrest Gump,8.464,29575,1994,8.088554893559952
False,118340,en,Guardians of the Galaxy,light years from earth  years after being abducted peter quill finds himself the prime target of a manhunt after discovering an orb wanted by ronan the accuser,9.381,2014-07-30,Guardians of the Galaxy,7.904,29564,2014,7.650777782360903
False,671,en,Harry Potter and the Philosopher's Stone,harry potter has lived under the stairs at his aunt and uncles house his whole life but on his th birthday he learns hes a powerful wizardwith a place waiting for him at the hogwarts school of witchcraft and wizardry as he learns to harness his newfound powers with the help of the schools kindly headmaster harry uncovers the truth about his parents deathsand about the villain whos to blame,28.7874,2001-11-16,Harry Potter and the Philosopher's Stone,7.898,29423,2001,7.645145980631708
False,1726,en,Iron Man,after being held captive in an afghan cave billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil,24.2575,2008-04-30,Iron Man,7.657,27985,2008,7.449054868200495
False,68718,en,Django Unchained,with the help of a german bounty hunter a freed slave sets out to rescue his wife from a brutal mississippi plantation owner,14.6425,2012-12-25,Django Unchained,8.19,27877,2012,7.859564517395459
False,603,en,The Matrix,set in the nd century the matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth,31.4798,1999-03-31,The Matrix,8.242,27708,1999,7.898066560781032
False,475557,en,Joker,during the s a failed standup comedian is driven insane and turns to a life of crime and chaos in gotham city while becoming an infamous psychopathic crime figure,17.8144,2019-10-01,Joker,8.126,27569,2019,7.807483436344727
False,299534,en,Avengers: Endgame,after the devastating events of avengers infinity war the universe is in ruins due to the efforts of the mad titan thanos with the help of remaining allies the avengers must assemble once more in order to undo thanos actions and restore order to the universe once and for all no matter what consequences may be in store,36.9903,2019-04-24,Avengers: Endgame,8.234,27547,2019,7.890366303768704
False,120,en,The Lord of the Rings: The Fellowship of the Ring,young hobbit frodo baggins after inheriting a mysterious ring from his uncle bilbo must leave his home in order to keep it from falling into the hands of its evil creator along the way a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination mt doom the only place where it can be destroyed,33.4553,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.432,27364,2001,8.040677217099166
False,597,en,Titanic,yearold rose dewitt bukater tells the story of her life aboard the titanic  years later a young rose boards the ship with her mother and fianc meanwhile jack dawson and fabrizio de rossi win thirdclass tickets aboard the ship rose tells the whole story from titanics departure through to its deathon its first and last voyageon april  ,32.7466,1997-12-18,Titanic,7.902,27030,1997,7.631065170385364
False,122,en,The Lord of the Rings: The Return of the King,as armies mass for a final battle that will decide the fate of the worldand powerful ancient forces of light and dark compete to determine the outcomeone member of the fellowship of the ring is revealed as the noble heir to the throne of the kings of men yet the sole hope for triumph over evil lies with a brave hobbit frodo who accompanied by his loyal friend sam and the hideous wretched gollum ventures deep into the very dark heart of mordor on his seemingly impossible quest to destroy the ring of power,31.9419,2003-12-17,The Lord of the Rings: The Return of the King,8.496,26361,2003,8.078067244038275
False,106646,en,The Wolf of Wall Street,a new york stockbroker refuses to cooperate in a large securities fraud case involving corruption on wall street corporate banking world and mob infiltration based on jordan belforts autobiography,25.527,2013-12-25,The Wolf of Wall Street,8.027,25769,2013,7.715675018055699
False,11324,en,Shutter Island,world war ii soldierturnedus marshal teddy daniels investigates the disappearance of a patient from a hospital for the criminally insane but his efforts are compromised by troubling visions and a mysterious doctor,17.7683,2010-02-14,Shutter Island,8.198,25689,2010,7.8443231549015335
False,99861,en,Avengers: Age of Ultron,when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure,21.9033,2015-04-22,Avengers: Age of Ultron,7.27,24303,2015,7.136741717981685
False,49026,en,The Dark Knight Rises,following the death of district attorney harvey dent batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gothams finest the dark knight resurfaces to protect a city that has branded him an enemy,16.3608,2012-07-17,The Dark Knight Rises,7.793,24223,2012,7.526380715760404
False,16869,en,Inglourious Basterds,in nazioccupied france during world war ii a group of jewishamerican soldiers known as the basterds are chosen specifically to spread fear throughout the third reich by scalping and brutally killing nazis the basterds lead by lt aldo raine soon cross paths with a frenchjewish teenage girl who runs a movie theater in paris which is targeted by the soldiers,17.9603,2009-08-02,Inglourious Basterds,8.217,24032,2009,7.840315323063928
False,76341,en,Mad Max: Fury Road,an apocalyptic story set in the furthest reaches of our planet in a stark desert landscape where humanity is broken and most everyone is crazed fighting for the necessities of life within this world exist two rebels on the run who just might be able to restore order,16.0381,2015-05-13,Mad Max: Fury Road,7.632,23963,2015,7.404512805789005
False,271110,en,Captain America: Civil War,following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies,18.7243,2016-04-27,Captain America: Civil War,7.447,23920,2016,7.266709405609065
False,121,en,The Lord of the Rings: The Two Towers,frodo baggins and the other members of the fellowship continue on their sacred quest to destroy the one ringbut on separate paths their destinies lie at two towersorthanc tower in isengard where the corrupt wizard saruman awaits and saurons fortress at baraddur deep within the dark lands of mordor frodo and sam are trekking to mordor to destroy the one ring of power while gimli legolas and aragorn search for the orccaptured merry and pippin all along nefarious wizard saruman awaits the fellowship members at the orthanc tower in isengard,22.9357,2002-12-18,The Lord of the Rings: The Two Towers,8.415,23732,2002,7.983646258039555
False,672,en,Harry Potter and the Chamber of Secrets,cars fly trees fight back and a mysterious houseelf comes to warn harry potter at the start of his second year at hogwarts adventure and danger await when bloody writing on a wall announces the chamber of secrets has been opened to save hogwarts will require all of harry ron and hermiones magical abilities and courage,21.4524,2002-11-13,Harry Potter and the Chamber of Secrets,7.702,23461,2002,7.452679876829153
False,284054,en,Black Panther,king tchalla returns home to the reclusive technologically advanced african nation of wakanda to serve as his countrys new leader however tchalla soon finds that he is challenged for the throne by factions within his own country as well as without using powers reserved to wakandan kings tchalla assumes the black panther mantle to join with exgirlfriend nakia the queenmother his princesskid sister members of the dora milaje the wakandan special forces and an american secret agent to prevent wakanda from being dragged into a world war,15.6103,2018-02-13,Black Panther,7.361,23380,2018,7.2000908715396825
False,150540,en,Inside Out,when yearold riley moves to a new city her emotions team up to help her through the transition joy fear anger disgust and sadness work together but when joy and sadness get lost they must journey through unfamiliar places to get back home,21.4368,2015-06-17,Inside Out,7.909,23354,2015,7.6047354141858206
False,284052,en,Doctor Strange,after his career is destroyed a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil,13.0473,2016-10-25,Doctor Strange,7.418,23328,2016,7.24191645461989
False,68721,en,Iron Man 3,when tony starks world is torn apart by a formidable terrorist called the mandarin he starts an odyssey of rebuilding and retribution,20.7173,2013-04-18,Iron Man 3,6.931,23324,2013,6.882295455924792
